arm,kind,objective_status,aggregation,relative_token,relative_coordinate,mean,sem,sem_between_events,sem_between_rollouts,n_units,n_rollouts,n_events
L22_SV32,event,ambiguous,event_weighted,-2,generated_local_index,-1.1706204179455646,0.6842903875026372,0.6842903875026372,,5,4,5
L22_SV32,event,ambiguous,event_weighted,-1,generated_local_index,-0.512972202226358,0.3897692018835485,0.3897692018835485,,5,4,5
L22_SV32,event,ambiguous,event_weighted,0,generated_local_index,1.237699831381343,0.5474978404595299,0.5474978404595299,,5,4,5
L22_SV32,event,ambiguous,event_weighted,1,generated_local_index,0.07067766726324504,0.4095755601577174,0.4095755601577174,,4,4,4
L22_SV32,event,ambiguous,event_weighted,2,generated_local_index,-0.22295795466278084,0.5835175733311692,0.5835175733311692,,4,4,4
L22_SV32,event,ambiguous,event_weighted,3,generated_local_index,-0.1431079708469794,0.29797328430064646,0.29797328430064646,,4,4,4
L22_SV32,event,ambiguous,event_weighted,4,generated_local_index,0.1466478760281098,0.5090782230168068,0.5090782230168068,,4,4,4
L22_SV32,event,ambiguous,event_weighted,5,generated_local_index,-0.2619902294300809,0.31101726289501413,0.31101726289501413,,4,4,4
L22_SV32,event,ambiguous,event_weighted,6,generated_local_index,0.6184829639420979,0.5886137983452772,0.5886137983452772,,4,4,4
L22_SV32,event,ambiguous,event_weighted,7,generated_local_index,-0.526144783765488,0.32576115307771913,0.32576115307771913,,4,4,4
L22_SV32,event,ambiguous,event_weighted,8,generated_local_index,-0.3185014859282404,0.4593482140219088,0.4593482140219088,,4,4,4
L22_SV32,event,ambiguous,event_weighted,9,generated_local_index,-0.2149409000418632,0.31361778121387385,0.31361778121387385,,4,4,4
L22_SV32,event,ambiguous,event_weighted,10,generated_local_index,-0.26356680220560214,0.5426271263542999,0.5426271263542999,,4,4,4
L22_SV32,event,ambiguous,event_weighted,11,generated_local_index,0.02897098215239169,0.6626877454336716,0.6626877454336716,,4,4,4
L22_SV32,event,ambiguous,event_weighted,12,generated_local_index,-0.3863975041582977,0.4892992806657082,0.4892992806657082,,4,4,4
L22_SV32,event,ambiguous,event_weighted,13,generated_local_index,0.13936182442922984,0.3529591231242137,0.3529591231242137,,4,4,4
