comparison,metric,objective_status,arm,event_metric_event_weighted_mean,control_metric_event_weighted_mean,event_metric_rollout_weighted_mean,control_metric_rollout_weighted_mean,n_events,n_rollouts,event_weighted_mean,rollout_weighted_mean,rollout_sd,rollout_se,standardized_rollout_effect,bootstrap_ci_low,bootstrap_ci_high,permutation_p_two_sided,permutation_p_directional,event_consistency,rollout_consistency,permutation_p_holm
event_minus_control,peak_response,incorrect,L18_SV30,1.633243220539711,1.314556574082866,1.5791513719427905,1.2965328623641945,15,12,0.31868664645684475,0.28261850957859563,0.7280740808411112,0.21017688328180248,0.38817273820831416,-0.12393817878632425,0.6554356989313647,0.19864006799660017,0.09984500774961252,0.7333333333333333,0.75,0.5959202039898005
event_minus_control,peak_response,incorrect,L22_SV32,1.2822886648948522,1.3166425531624821,1.284469338824878,1.3120166096123709,15,12,-0.03435388826762991,-0.027547270787492795,0.5958767728673474,0.17201480760940427,-0.04622981133319875,-0.36747174334590527,0.2761145610992304,0.8762061896905154,0.43627818609069546,0.5333333333333333,0.5,1.0
event_minus_control,peak_response,ambiguous,L17_SV28,1.30062609005626,1.2669228487397046,1.30062609005626,1.2669228487397046,4,4,0.03370324131655544,0.03370324131655544,0.6146191998692383,0.30730959993461915,0.054835972133193835,-0.3835057954941109,0.6050503426091827,1.0,0.5029748512574371,0.25,0.25,1.0
event_minus_control,peak_response,ambiguous,L18_SV30,1.2772682182548862,1.2117070874667217,1.2772682182548862,1.2117070874667217,4,4,0.06556113078816475,0.06556113078816475,0.5402456560367817,0.2701228280183908,0.12135429513513966,-0.38791204262769385,0.5647910666607701,0.7524623768811559,0.37613119344032797,0.5,0.5,1.0
event_minus_control,peak_response,ambiguous,L22_SV32,1.4929062429512505,1.5155722134998786,1.4929062429512505,1.5155722134998786,4,4,-0.0226659705486279,-0.0226659705486279,1.3784905382080777,0.6892452691040388,-0.01644260146906178,-1.3212123451952031,0.8942065970656609,1.0,0.5047747612619369,0.25,0.25,1.0
correct_minus_incorrect_paired_rollouts,peak_response,correct_minus_incorrect,L17_SV28,,,,,6,6,-0.2329244899765326,-0.2329244899765326,0.7150932029217709,0.2919355776151413,-0.325726057840902,-0.7472556208949142,0.281406640941849,0.5000249987500625,0.2510374481275936,0.6666666666666666,0.6666666666666666,
correct_minus_incorrect_paired_rollouts,peak_response,correct_minus_incorrect,L18_SV30,,,,,6,6,-0.10689783886554709,-0.10689783886554709,0.987004830337891,0.4029430346650192,-0.10830528441178115,-0.8797138725830589,0.5543632506262786,0.8453077346132694,0.4232288385580721,0.5,0.5,
correct_minus_incorrect_paired_rollouts,peak_response,correct_minus_incorrect,L22_SV32,,,,,6,6,-0.29320770901068155,-0.29320770901068155,0.8653811597667054,0.3532903790743926,-0.33881915003756985,-0.8916635742531044,0.36494452634929525,0.37638118094095296,0.18624068796560173,0.6666666666666666,0.6666666666666666,
event_minus_control,trough_response,all,L17_SV28,-1.4048087213673963,-1.373874387108864,-1.3957656077711305,-1.3331196013568254,33,18,-0.030934334258532384,-0.06264600641430511,0.5617380874532314,0.1324029369629806,-0.1115217355090255,-0.3086002202884857,0.1960510065807224,0.6343682815859207,0.31818409079546023,0.6060606060606061,0.6111111111111112,1.0
event_minus_control,trough_response,all,L18_SV30,-1.1071950149267484,-1.2862183007099588,-1.0849361134754918,-1.269683616415727,33,18,0.1790232857832104,0.18474750294023518,0.5208396239399533,0.12276307666619743,0.35471092145925975,-0.04276108856451362,0.42302008271156105,0.15014249287535622,0.07229638518074097,0.6363636363636364,0.7222222222222222,0.4504274786260687
event_minus_control,trough_response,all,L22_SV32,-1.2944443566716697,-1.290827326330177,-1.4074255438508982,-1.2994677857148687,33,18,-0.0036170303414928013,-0.10795775813603008,0.7888563477050916,0.1859352242814411,-0.13685350754937364,-0.4850967256641976,0.21587867900758317,0.5638718064096795,0.2791860406979651,0.42424242424242425,0.5,1.0
event_minus_control,trough_response,correct,L17_SV28,-1.4001725053203804,-1.2646854627724349,-1.2945733906843777,-1.2679309621692292,14,11,-0.1354870425479456,-0.0266424285151484,0.4931447921235144,0.14868874934468257,-0.0540255700570705,-0.30776447863530815,0.24600434280264186,0.8546572671366431,0.4246787660616969,0.6428571428571429,0.5454545454545454,1.0
event_minus_control,trough_response,correct,L18_SV30,-1.0759963962481023,-1.2969481678157668,-1.0918284644634637,-1.3007023361551775,14,11,0.22095177156766438,0.20887387169171368,0.6372215208645702,0.192129517549764,0.3277884767738502,-0.14265284542701856,0.5732055864880367,0.30363481825908706,0.15264236788160593,0.6428571428571429,0.6363636363636364,0.9109044547772611
event_minus_control,trough_response,correct,L22_SV32,-1.102784329631933,-1.2143136142738595,-1.2164052567389012,-1.266512031264054,14,11,0.11152928464192662,0.05010677452515328,0.684638129769784,0.206426163056093,0.07318723913609976,-0.3555698354282128,0.41844504395407445,0.8203589820508974,0.4112794360281986,0.7142857142857143,0.6363636363636364,1.0
event_minus_control,trough_response,incorrect,L17_SV28,-1.367475171695592,-1.4715848250822061,-1.3682552945781257,-1.4002663017319497,15,12,0.10410965338661414,0.03201100715382407,0.8514068491705707,0.24577998677926008,0.03759777970427272,-0.4255839708816374,0.49252669940604,0.8996550172491375,0.4504274786260687,0.4666666666666667,0.5,1.0
event_minus_control,trough_response,incorrect,L18_SV30,-1.0926863897679133,-1.2804294320373677,-1.0313841388565985,-1.2513855545299135,15,12,0.18774304226945365,0.2200014156733148,0.5809493648297138,0.1677056360849887,0.3786929274598673,-0.08106597424236658,0.534803652986318,0.2175891205439728,0.10659467026648668,0.6,0.5833333333333334,0.6527673616319184
