layer,mean_cos,ov_JR,R_in_GJ,J_in_GR,ov_GJ_GR,align_total,align_gated,gated_corr_median,gated_corr_min,gated_corr_max
12,0.8903450810102015,0.6630174517631531,0.2880701720714569,0.31741344928741455,0.5893992781639099,0.7034660088977768,0.6992520396936855,0.7737487905315118,0.5580306285945871,0.9321140378168131
13,0.8978117183729919,0.6786783933639526,0.30192065238952637,0.3169936537742615,0.6051195859909058,0.7242561489187611,0.7196356305236966,0.8453772077876507,0.5668827134006033,0.9356759121449651
14,0.9038335604796527,0.6657165288925171,0.3077408969402313,0.3186625838279724,0.62895667552948,0.7426597776507288,0.7375472496034111,0.8350191504861062,0.60590020517755,0.9413348748121746
15,0.9120016281707563,0.6825830936431885,0.34124550223350525,0.31948691606521606,0.6679924726486206,0.7676232588883117,0.7610824511418729,0.894902624983605,0.6147034749124711,0.9501500181056939
16,0.9175988424505379,0.616611123085022,0.26047998666763306,0.2665852904319763,0.6337128281593323,0.7786672417803046,0.770678251400562,0.8812993463151579,0.6916467244471681,0.9332551032221544
17,0.9280095467429035,0.6202396750450134,0.2741745114326477,0.2585084140300751,0.6478922367095947,0.797511696266996,0.7872498350788056,0.9223042069611653,0.8739554030279801,0.9364517319733828
18,0.9451582939921268,0.7159643173217773,0.3159543573856354,0.25680211186408997,0.6970828175544739,0.810403576169239,0.7950576115645686,0.9058550260606196,0.8099791127644744,0.9418605408999249
19,0.9574495705940597,0.6170495748519897,0.24794960021972656,0.19031192362308502,0.7527800798416138,0.8321035697893887,0.8124790775677221,0.9317949954750124,0.7545089625183539,0.9628160159227157
20,0.9663343688632476,0.560896635055542,0.175374835729599,0.1299070417881012,0.7269850373268127,0.8504932030292969,0.8243557757429503,0.9675223116394396,0.7841305914910572,0.9828959822040391
21,0.9726135150341344,0.5826456546783447,0.17267578840255737,0.12272331118583679,0.7735489010810852,0.8719183335356638,0.8420415945310112,0.987676703176465,0.9596629324970202,0.9917685591196437
22,0.9801307954709897,0.6635404229164124,0.16748812794685364,0.13091041147708893,0.876072883605957,0.8988104504605496,0.86824189800799,0.99159092823508,0.9706490926327914,0.9944099020272769
