layer,set,dir,name,gamma_J,fSf_J,inv_J,gamma_R,g0_med,g0sq_over_fSf,snr_a0,alpha_star,corr_pred,template_stability,flip_frac
2,topG,2,L02:topG:03,514.6230076861915,68638.97986634594,133.11853591319897,102.29335846977966,5.462370237214008,0.00619476777198691,1.159021759033203e+31,0.5,0.11812212557336611,0.01563490927219391,nan
2,topG,3,L02:topG:04,13167.596269985544,48807.68421929273,3.7063695490868223,243.92766747492806,4.611090035389502,0.0032910947626106036,9.669899463653564e+30,0.5,0.3110508455368851,0.022443996742367744,nan
2,topG,4,L02:topG:05,2471.3281722939078,43003.28458372061,17.393841588522104,293.4064784133228,6.947861149143188,0.020433808050572214,1.3887764930725097e+31,0.2,-0.022348593737445296,0.006847655400633812,nan
2,topG,5,L02:topG:06,7999.694151207746,38300.01542725877,4.7870865581678546,285.6264455447021,5.737826254828088,0.014207256643184205,1.1221696853637693e+31,0.5,0.22918014255822497,0.00309757050126791,nan
2,topG,6,L02:topG:07,1185.276922660369,33777.85201097159,28.473833862687545,231.6256230795144,5.671199855845053,0.008362883288890465,1.1907822608947753e+31,0.5,0.04878019472707509,0.0131709985435009,nan
2,topG,7,L02:topG:08,2911.8492966662857,31399.132561956518,10.779525256556314,162.71078414922653,5.646674388042148,0.012425941565859933,1.069279098510742e+31,0.5,0.09811779721876315,0.010750861838459969,nan
2,topG_R,40,L02:topG_R:01,381.17086506529597,55310.83608115991,144.72802910213932,79.58064200280376,5.418500114610053,0.005468247169138937,1.1511904716491697e+31,0.2,0.06438053429847995,0.008785583078861237,nan
2,topG_R,41,L02:topG_R:02,18.46703046010163,14934.127808780979,767.1497632568564,9.247798708149247,4.878575061809207,0.009824129115489057,9.510515213012695e+30,0.2,0.3723133488675062,0.016474759206175804,nan
2,topG_R,42,L02:topG_R:03,426.45368247521975,23074.163750136573,53.98050056914464,45.81235556888428,7.148842009733559,0.0219238289709108,1.4131536960601805e+31,0.2,-0.15670598167099523,0.005877528339624405,nan
2,topG_R,43,L02:topG_R:04,31.73875801773712,7746.676405358172,236.62096164922315,11.831170279763347,4.85797994685066,0.006654167480338135,1.0007027626037597e+31,0.2,0.13640046833953895,0.014140569604933262,nan
2,topG_R,44,L02:topG_R:05,40.64490736814381,6545.620633899498,157.17697667173962,18.71173819787892,4.82658084566364,0.009302809371978782,9.717288017272949e+30,0.5,-0.10527519369174468,0.005074364133179188,nan
2,topG_R,45,L02:topG_R:06,16.47685947108958,6512.103000098702,372.6128833885228,7.35523174776679,5.22323368806757,0.015178792795153688,1.0929702281951903e+31,0.2,0.21867643566944103,0.020125839859247208,nan
2,topG_R,46,L02:topG_R:07,172.41300316248106,13273.2177165381,76.5410752047332,12.362596964257607,8.276213340250683,0.018958938731291973,1.4958450317382811e+31,0.5,-0.10037621118303536,0.008856666274368763,nan
