layer,set,alpha,med_anti_per_eps,n
10,topG,0.05,14.991096889698095,480
10,topG,0.1,14.816888225574552,480
10,topG,0.2,15.262698303341857,480
10,topG,0.5,15.022302516017806,480
10,topG,1.0,15.588988549142606,480
10,topG_R,0.05,13.56201319509019,480
10,topG_R,0.1,13.044562507681981,480
10,topG_R,0.2,13.026425096556004,480
10,topG_R,0.5,12.265290006836727,480
10,topG_R,1.0,13.38872603340376,480
10,topJbar,0.05,15.563014974475303,480
10,topJbar,0.1,15.200791558976436,480
10,topJbar,0.2,14.729962370064033,480
10,topJbar,0.5,13.73415076356233,480
10,topJbar,1.0,12.983121115061492,480
17,gnotj,0.05,11.651028414448502,240
17,gnotj,0.1,11.495181014846043,240
17,gnotj,0.2,11.20613267746758,240
17,gnotj,0.5,10.557527703804151,240
17,gnotj,1.0,10.126609089279192,240
17,jpriv,0.05,14.651787359166594,240
17,jpriv,0.1,14.338669219112337,240
17,jpriv,0.2,13.881723991829315,240
17,jpriv,0.5,13.723576904741572,240
17,jpriv,1.0,12.833089139399098,240
17,pairH,0.05,14.69743920837728,360
17,pairH,0.1,14.139011030318276,360
17,pairH,0.2,14.221293911395275,360
17,pairH,0.5,15.861280513020816,360
17,pairH,1.0,14.166299303350677,360
17,pairL,0.05,17.082467051939997,360
17,pairL,0.1,16.582019684766372,360
17,pairL,0.2,15.983896001267318,360
17,pairL,0.5,14.019877578886984,360
17,pairL,1.0,12.44856374129029,360
17,rand,0.05,7.816405445621826,480
17,rand,0.1,7.4450911202130206,480
17,rand,0.2,7.270146333359969,480
17,rand,0.5,6.938643694820781,480
17,rand,1.0,6.455239340112099,480
17,shared,0.05,13.13476874461793,240
17,shared,0.1,12.846547698175806,240
17,shared,0.2,12.619821851671261,240
17,shared,0.5,11.500869899432324,240
17,shared,1.0,11.351192695461027,240
17,topG,0.05,13.428497121067103,480
17,topG,0.1,13.053247801012965,480
17,topG,0.2,12.834062861923893,480
17,topG,0.5,12.162271894717083,480
17,topG,1.0,11.531388231229615,480
17,topG_R,0.05,10.361151330643235,480
17,topG_R,0.1,10.092551325521491,480
17,topG_R,0.2,9.901681461296167,480
17,topG_R,0.5,9.727524163645604,480
17,topG_R,1.0,9.41563934206972,480
17,topJbar,0.05,19.60804230985991,480
17,topJbar,0.1,18.77452388644116,480
17,topJbar,0.2,17.552505706476985,480
17,topJbar,0.5,15.537670819789668,480
17,topJbar,1.0,13.234804037936227,480
25,gnotj,0.05,5.762959160818969,240
25,gnotj,0.1,5.668961801986819,240
25,gnotj,0.2,5.65162066525171,240
25,gnotj,0.5,5.428520278105538,240
25,gnotj,1.0,4.614327602573038,240
25,jpriv,0.05,7.023034559397186,240
25,jpriv,0.1,7.192807452615902,240
25,jpriv,0.2,7.197936071748355,240
25,jpriv,0.5,6.653410625241663,240
25,jpriv,1.0,4.924909329078021,240
25,pairH,0.05,5.192433282206204,360
25,pairH,0.1,5.066033872323796,360
25,pairH,0.2,5.009798319360725,360
25,pairH,0.5,4.707247568935854,360
25,pairH,1.0,4.002131729875093,360
25,pairL,0.05,12.291856882965032,360
25,pairL,0.1,12.34472345423928,360
25,pairL,0.2,12.304365327917365,360
25,pairL,0.5,8.864613415223118,360
25,pairL,1.0,4.844994634670961,360
25,rand,0.05,5.526825294026315,480
25,rand,0.1,5.4617853491012305,480
25,rand,0.2,5.413485057467227,480
25,rand,0.5,5.139835511305128,480
25,rand,1.0,4.4081077351660065,480
25,shared,0.05,6.072787117396851,240
25,shared,0.1,5.987046677649144,240
25,shared,0.2,5.873301174990295,240
25,shared,0.5,5.579142923143339,240
25,shared,1.0,4.676305314541747,240
25,topG,0.05,6.095693728810874,480
25,topG,0.1,6.038684233766629,480
25,topG,0.2,5.998518037138865,480
25,topG,0.5,5.630327070648411,480
25,topG,1.0,4.694994417727875,480
25,topG_R,0.05,5.883207917911839,480
25,topG_R,0.1,5.863600231673378,480
25,topG_R,0.2,5.815502405792454,480
25,topG_R,0.5,5.468380863167296,480
25,topG_R,1.0,4.656997965475098,480
25,topJbar,0.05,11.107183106379441,480
25,topJbar,0.1,11.055056601649133,480
25,topJbar,0.2,10.111781667579862,480
25,topJbar,0.5,7.998595304715964,480
25,topJbar,1.0,5.359112651336344,480
