layer,n_svd,n_rotated,median_svd,median_rotated,rbc_vs_rotated,p_vs_rotated,q_vs_rotated,n_random,median_random,rbc_vs_random,p_vs_random,svd_yield_above_rot_q90,svd_yield_above_rot_q95,svd_yield_above_rot_q99,energy_ratio_svd_over_rotated
14,64,128,0.7491766497176697,0.6821444854009298,0.38818359375,5.960544088412512e-06,1.4901360221031279e-05,64,0.6372444454926538,0.34912109375,0.0003308116186064858,0.3125,0.25,0.140625,1.0007542748765725
15,64,128,0.7053131104694443,0.6641570925558726,0.3115234375,0.00022073529939103942,0.0002759191242387993,64,0.5907917717533384,0.50537109375,4.1116314453137903e-07,0.28125,0.25,0.171875,1.0000263530039428
16,64,128,0.6999040329710706,0.6349692443459436,0.383544921875,7.568626057219419e-06,1.5137252114438837e-05,64,0.5744389877219639,0.50390625,4.4233771279156286e-07,0.34375,0.25,0.140625,1.000339397414676
17,64,128,0.6557879618104916,0.5998352404700125,0.38525390625,6.933189702351683e-06,1.5137252114438837e-05,64,0.49216581436186907,0.369140625,0.0001588664899990766,0.25,0.140625,0.015625,0.9994744326167193
18,64,128,0.6253031847362942,0.5782543111060573,0.341796875,5.7727403956819856e-05,9.621233992803309e-05,64,0.27319230104980763,0.5048828125,4.2131181743343404e-07,0.296875,0.234375,0.1875,0.9991313222450435
19,64,128,0.35686378434890154,0.16064352821009314,0.392333984375,4.8029282000428e-06,1.3098895091025817e-05,64,0.2533054789137441,0.28076171875,0.0030923404167287893,0.265625,0.171875,0.09375,1.0006162699074026
20,64,128,0.25835391164659727,0.10871038630181806,0.334716796875,7.978348586445971e-05,0.0001259739250491469,64,0.20890327096437356,0.12109375,0.119103323168531,0.1875,0.140625,0.046875,1.0009899218121268
21,64,128,0.38626874813699746,0.17338397925020332,0.420166015625,1.068974973872372e-06,3.206924921617116e-06,64,0.24742408474725486,0.42724609375,1.5397926152571628e-05,0.296875,0.15625,0.078125,1.0004352747872083
22,64,128,0.5616292126061804,0.16982267660872638,0.53662109375,7.062512796807141e-10,5.296884597605356e-09,64,0.1729503747997364,0.57373046875,1.0893695057134778e-08,0.34375,0.28125,0.171875,0.9998094617023338
23,64,128,0.20933261705966025,0.08094219793391795,0.580322265625,2.9315216920622333e-11,8.7945650761867e-10,64,0.1671368165815405,0.2060546875,0.0222848982001006,0.328125,0.21875,0.078125,1.0003430348459041
24,64,128,0.3718168722897523,0.1654585281671858,0.489013671875,1.7258551254784038e-08,9.044314186468227e-08,64,0.16150260705703248,0.7197265625,1.092903545441004e-12,0.21875,0.203125,0.140625,1.001543915947095
25,64,128,0.4766504082147348,0.21768835454210705,0.424560546875,8.359174324956697e-07,2.7863914416522326e-06,64,0.1557398267482987,0.7587890625,6.639133687258436e-14,0.390625,0.171875,0.078125,1.0005308175173813
26,64,128,0.5771130117868035,0.27144087417499446,0.48828125,1.8088628372936455e-08,9.044314186468227e-08,64,0.16882606181256413,0.5185546875,2.1110256320788778e-07,0.328125,0.203125,0.109375,0.9983756857309801
27,64,128,0.5866456457469813,0.28067542013074376,0.54150390625,5.008229386760377e-10,5.008229386760377e-09,64,0.16157152705869043,0.84375,1.1102230246251565e-16,0.390625,0.359375,0.3125,0.9994831866560473
28,64,128,0.6418259807619123,0.5704543286790565,0.455078125,1.419084816323135e-07,6.081792069956293e-07,64,0.1674302103180671,0.92138671875,0.0,0.375,0.28125,0.109375,0.9999801322301264
29,64,128,0.5775997889836648,0.2585390893937737,0.569580078125,6.551592601766743e-11,9.827388902650114e-10,64,0.16843711849442025,0.81640625,8.881784197001252e-16,0.46875,0.390625,0.328125,0.9992183284198053
