rank,metric,layer,sv_rank,n_events,n_rollouts,event_weighted_mean,rollout_weighted_mean,rollout_sd,rollout_se,standardized_rollout_effect,rollout_consistency,event_consistency,bootstrap_ci_low,bootstrap_ci_high,permutation_p_two_sided,permutation_p_directional,correct_n_events,correct_n_rollouts,correct_rollout_weighted_mean,correct_rollout_consistency,incorrect_n_events,incorrect_n_rollouts,incorrect_rollout_weighted_mean,incorrect_rollout_consistency,ambiguous_n_events,ambiguous_rollout_weighted_mean,status_preservation_ratio,rank_score,permutation_p_holm
404,delta,9,5,45,19,0.5985929509003957,0.727499428025463,6.0818829193234984,1.3952796332514348,0.11961746677398788,0.5263157894736842,0.5555555555555556,-1.9740017003788235,3.4198123928355533,0.6067393260673932,0.30346965303469653,24,14,1.1378603013498443,0.42857142857142855,17,13,0.22983160385718712,0.38461538461538464,4,-0.4022883176803589,0.315919978770269,0.044451297200628404,1.0
405,delta,7,31,45,19,0.5805361005995009,1.5029831434551038,6.691479355385207,1.5351306469954107,0.22461148927337338,0.5789473684210527,0.4222222222222222,-1.3904921581870628,4.398352274873799,0.34196580341965804,0.1723827617238276,24,14,2.4835538920902067,0.6428571428571429,17,13,-2.1194500006162205,0.6923076923076923,4,-1.0055198073387146,0.0,0.0443312149881658,1.0
406,delta,1,7,45,19,0.08761779169241588,0.1755088387351287,0.7582777887721572,0.17396085538891126,0.23145718011775307,0.5263157894736842,0.5111111111111111,-0.14349400811550908,0.5172167031323178,0.32966703329667035,0.1603839616038396,24,14,-0.1121503125344004,0.6428571428571429,17,13,0.23342427152853745,0.6153846153846154,4,0.41106870770454407,0.0,0.04415959357509762,1.0
407,delta,16,2,45,19,-0.9825330601798163,-3.734493960414017,15.621484875815408,3.583814416933073,-0.23906139461784578,0.47368421052631576,0.4666666666666667,-10.61469941617627,3.0513045737617883,0.32486751324867513,0.1643835616438356,24,14,1.3661252373740784,0.6428571428571429,17,13,-4.303114392818549,0.6923076923076923,4,-14.99011766910553,0.0,0.04403762532434001,1.0
408,delta,8,18,45,19,-2.3511214521196155,-2.069549442383281,9.925435054067096,2.2770509669134014,-0.20850969565664046,0.6842105263157895,0.4888888888888889,-6.473221889268934,2.130248797044418,0.38296170382961703,0.19148085191480851,24,14,-3.332406330676306,0.7142857142857143,17,13,1.4278067197555149,0.5384615384615384,4,-3.6424366235733032,0.0,0.04389677803297694,1.0
409,delta,9,12,45,19,-1.071584705511729,-1.5535469285228798,7.227360895479219,1.6580703037837652,-0.21495355649039719,0.631578947368421,0.5555555555555556,-4.682525790887967,1.6835335852545608,0.3574642535746425,0.17548245175482452,24,14,-0.9436368438459576,0.5714285714285714,17,13,0.373975185247568,0.46153846153846156,4,-3.833425760269165,0.0,0.04383921217896258,1.0
410,delta,12,32,45,19,-1.5755259381400215,-2.114319384098053,9.52235516895079,2.1845780992609827,-0.222037442059727,0.5789473684210527,0.5111111111111111,-6.432000473089385,1.7770178610034146,0.3564643535646435,0.1755824417558244,24,14,1.894084592660268,0.6428571428571429,17,13,-5.360047123371027,0.6923076923076923,4,-5.968439817428589,0.0,0.04382317935389349,1.0
411,delta,2,16,45,19,-0.2362742500172721,-0.4194887659528799,1.896872550041035,0.4351724081265879,-0.22114757575241686,0.5789473684210527,0.5333333333333333,-1.2641082578779834,0.38605889098947493,0.3414658534146585,0.1683831616838316,24,14,0.03567380404898105,0.42857142857142855,17,13,-1.0536519136184301,0.6923076923076923,4,-0.6051709055900574,0.0,0.04364754784587175,1.0
412,delta,12,16,45,19,2.6176428265041776,1.5617649701603673,7.303786248656692,1.6756034822692922,0.21382950116422234,0.631578947368421,0.6222222222222222,-1.6732521090068309,4.698047575354576,0.37336266373362664,0.18288171182881713,24,14,3.8952915214356922,0.7142857142857143,17,13,-2.3698182228284006,0.46153846153846156,4,2.686102569103241,0.0,0.043609964053229554,1.0
413,delta,3,29,45,19,0.3253216054704454,0.727007694411696,3.290618065595541,0.7549195584063293,0.22093347812460912,0.5789473684210527,0.5333333333333333,-0.7021145425083344,2.1821307526345834,0.3544645535446455,0.1800819918008199,24,14,-0.46738469884509143,0.5714285714285714,17,13,2.201573017315987,0.6153846153846154,4,3.2396121621131897,0.0,0.04360529173512022,1.0
414,delta,6,18,45,19,-1.0406023104985556,-1.7709225165216547,8.052169209760358,1.8472943085071136,-0.21993111053541303,0.5789473684210527,0.4666666666666667,-5.706902898403635,1.3348280174690375,0.42625737426257376,0.21457854214578542,24,14,1.4349052097116197,0.6428571428571429,17,13,-3.2042867220365086,0.6923076923076923,4,-4.419852077960968,0.0,0.04340745602672626,1.0
415,delta,12,18,45,19,-2.953456852171156,-2.146864849224425,10.432296388019186,2.393332931812632,-0.2057902468808267,0.6842105263157895,0.6222222222222222,-6.528342476121166,2.556469575564066,0.38746125387461255,0.1947805219478052,24,14,0.816689031464713,0.5714285714285714,17,13,-4.068509584818131,0.6153846153846154,4,-9.028257369995117,0.0,0.043324262501226674,1.0
416,delta,17,1,45,19,3.619775915145874,-5.5900350641786005,34.51742886752912,7.918841274969106,-0.1619481881351018,0.5263157894736842,0.37777777777777777,-21.105196509549494,8.967360220405089,0.49605039496050396,0.24747525247475252,24,14,-0.7418925648643864,0.42857142857142855,17,13,-0.8523668081332479,0.38461538461538464,4,-19.95013976097107,0.13271697875716276,0.04320008102097597,1.0
417,delta,17,15,45,19,4.277805492613051,2.815307886976945,12.920808979886019,2.9642368743218954,0.2178894441795068,0.5789473684210527,0.6444444444444445,-3.076001932851055,8.189357791082898,0.35636436356364365,0.1827817218278172,24,14,5.108785839307877,0.6428571428571429,17,13,-3.633618214191535,0.5384615384615384,4,9.65336161851883,0.0,0.043004495561744766,1.0
418,delta,10,3,45,19,0.20678474108378092,2.2413343964961534,9.62060364837168,2.207117846268993,0.23297232464986817,0.47368421052631576,0.4666666666666667,-1.616863268195537,6.81443558575814,0.3491650834916508,0.17418258174182583,24,14,-1.6374852983724504,0.6428571428571429,17,13,2.7711217250579443,0.6923076923076923,4,6.852074027061462,0.0,0.04291595454076519,1.0
419,delta,2,8,45,19,0.19976716538270314,0.22405204438326654,1.0457374241521702,0.23990861859778104,0.21425267873999665,0.5789473684210527,0.5333333333333333,-0.21684818708321502,0.6937048190779853,0.3705629437056294,0.18618138186181382,24,14,-0.22038501784915018,0.42857142857142855,17,13,0.647009646663299,0.6153846153846154,4,0.3059292733669281,0.0,0.042286712909209864,1.0
420,delta,5,10,45,19,0.44617612626817493,0.9330463409423828,4.096282355939944,0.9397516228289958,0.22777881500023783,0.47368421052631576,0.5111111111111111,-0.8166153727393402,2.7650963590856183,0.33066693330666935,0.16568343165683433,24,14,0.8860560953617096,0.5714285714285714,17,13,-0.031025733703222053,0.6153846153846154,4,0.7973334193229675,0.0,0.041959255394780653,1.0
