metric,layer,sv_rank,n_events,n_rollouts,event_weighted_mean,rollout_weighted_mean,rollout_sd,rollout_se,standardized_rollout_effect,rollout_consistency,event_consistency,bootstrap_ci_low,bootstrap_ci_high,permutation_p_two_sided,permutation_p_directional,correct_n_events,correct_n_rollouts,correct_rollout_weighted_mean,correct_rollout_consistency,incorrect_n_events,incorrect_n_rollouts,incorrect_rollout_weighted_mean,incorrect_rollout_consistency,ambiguous_n_events,ambiguous_rollout_weighted_mean,status_preservation_ratio,rank_score,permutation_p_holm
delta,21,7,45,19,-3.414334297180176,-6.700469807574624,21.414346968916913,4.912788125232913,-0.31289629412003117,0.42105263157894735,0.4888888888888889,-16.51056865526919,2.2289794433535177,0.19188081191880813,0.0928907109289071,24,14,-6.766437519164313,0.5,17,13,5.612989853589962,0.6153846153846154,4,-32.56794786453247,0.0,0.055580262771321325,1.0
delta,21,8,45,19,-0.9088625378078885,-4.507334985231099,31.26717425005622,7.173181726635379,-0.14415549512674602,0.47368421052631576,0.5111111111111111,-18.38741384451849,9.052049136998358,0.5383461653834617,0.2665733426657334,24,14,-4.740982339495704,0.5,17,13,-6.2097242306440315,0.5384615384615384,4,1.1657133102416992,1.0,0.10621983851444443,1.0
delta,21,9,45,19,-2.8400138113233777,-4.5511486258423135,29.374703425034898,6.739019143484485,-0.1549342834203238,0.5789473684210527,0.5333333333333333,-17.565925494934383,8.308275133580485,0.5058494150584941,0.2586741325867413,24,14,-11.739264022736323,0.7142857142857143,17,13,4.452153450403458,0.6153846153846154,4,1.151999831199646,0.0,0.030579134885590227,1.0
delta,21,10,45,19,7.02869782977634,12.023322364740205,30.919734155580766,7.093473502385235,0.3888559424295726,0.631578947368421,0.5777777777777777,-1.6452404436312225,25.204332050105975,0.10898910108989102,0.053594640535946404,24,14,21.581752635183786,0.7857142857142857,17,13,1.774537062033629,0.46153846153846156,4,-32.761000633239746,0.1475912404409671,0.11442082360951834,1.0
delta,21,11,45,19,-17.636867904663085,-8.008530541470178,49.27497249697296,11.304453976844798,-0.16252734675726413,0.631578947368421,0.6888888888888889,-26.25174217726055,15.701287309746983,0.5640435956404359,0.28317168283171684,24,14,-26.224976698557537,0.7857142857142857,17,13,-20.355762139344826,0.7692307692307693,4,28.634339332580566,1.0,0.1325880986703997,1.0
delta,21,12,45,19,-3.335958565606011,-0.14093166903445745,34.197268528601725,7.84539145585783,-0.004121138181448199,0.5263157894736842,0.4666666666666667,-14.600936207541249,14.729918529589968,0.9873012698730127,0.49855014498550143,24,14,3.8251609121050154,0.5,17,13,-22.34409812780527,0.6153846153846154,4,41.83526372909546,0.0,0.0007862697846184064,1.0
delta,21,13,45,19,14.89867778354221,17.439622586233575,43.21047474648965,9.913162774861298,0.4035971066865064,0.631578947368421,0.6666666666666666,-0.6840884183582505,37.156206116132566,0.09469053094690531,0.0496950304969503,24,14,48.02049334843954,0.8571428571428571,17,13,-21.566671249194023,0.6923076923076923,4,-10.200830936431885,0.0,0.0823125678110638,1.0
delta,21,14,45,19,0.7887118445502387,-2.6787548567119406,40.423938217264045,9.273887452051879,-0.0662665483584158,0.5789473684210527,0.5111111111111111,-19.764194706030057,15.356609170478686,0.7731226877312268,0.393960603939606,24,14,-11.431352524530322,0.7142857142857143,17,13,32.26386896769206,0.7692307692307693,4,-6.81342887878418,0.0,0.013078924018108383,1.0
delta,21,15,45,19,9.962053638034396,1.4761498099879207,46.322706256810925,10.62715765077674,0.03186665739700558,0.5263157894736842,0.5111111111111111,-18.63699351653718,21.05707681053563,0.893010698930107,0.44575542445755423,24,14,29.501142501831055,0.7857142857142857,17,13,-10.672465813465609,0.6153846153846154,4,-57.122615814208984,0.0,0.006079822792849748,1.0
delta,21,16,45,19,-6.935584290822347,-8.645495849743224,43.276969824050525,9.928417791878706,-0.19977128447053655,0.631578947368421,0.5777777777777777,-27.483013469503636,9.59390884899256,0.38886111388861117,0.1860813918608139,24,14,-18.39909346898397,0.7142857142857143,17,13,0.005688545031426009,0.6153846153846154,4,-33.48989486694336,0.0,0.04074282775385943,1.0
delta,21,17,45,19,-0.9665555318196615,-2.4636738844085158,48.4105206357307,11.10613511870213,-0.050891290819750745,0.47368421052631576,0.4888888888888889,-24.141874146252345,18.379372654881386,0.8286171382861713,0.4092590740925907,24,14,1.0056493849981405,0.5,17,13,-0.005997046446189267,0.5384615384615384,4,-19.32011890411377,0.0,0.00937471146679619,1.0
delta,21,18,45,19,-8.616866037580703,-8.09852950196517,29.54443565235958,6.777958386977662,-0.274113528424036,0.5263157894736842,0.6222222222222222,-21.245618306753926,4.43218369682629,0.24537546245375463,0.12588741125887412,24,14,-17.49818221160344,0.7142857142857143,17,13,-9.385193519103222,0.6153846153846154,4,20.151919841766357,1.0,0.20919190327097484,1.0
delta,21,19,45,19,21.458201747470433,24.016747206972358,38.46272632473848,8.823954586452453,0.6244161426363906,0.7368421052631579,0.6666666666666666,8.459800809308101,41.69807267732787,0.011198880111988802,0.0053994600539946005,24,14,18.945940449124294,0.5714285714285714,17,13,29.97054031567696,0.8461538461538461,4,18.15550994873047,0.7888637160499425,0.4563886666613854,1.0
delta,21,20,45,19,-5.078350390328302,-5.620533353403993,49.75050686892824,11.413549043767595,-0.11297439377274579,0.5263157894736842,0.5111111111111111,-27.68344666121299,16.401634475013665,0.6311368863113689,0.31296870312968705,24,14,2.752613856678918,0.5,17,13,-4.272226773775541,0.46153846153846156,4,-26.27751898765564,0.0,0.02155432512769492,1.0
delta,21,21,45,19,-6.50684871673584,-1.9650574985303377,46.81506886406725,10.740113379650873,-0.04197489283282057,0.631578947368421,0.5333333333333333,-20.973946602302682,19.36843313752559,0.855014498550145,0.42185781421857815,24,14,-9.678723516918366,0.7142857142857143,17,13,-4.3447023049379005,0.5384615384615384,4,8.855398416519165,1.0,0.03424267573203783,1.0
delta,21,22,45,19,10.05177460776435,12.90367462551385,46.27654085334486,10.616566580861143,0.27883835713665217,0.631578947368421,0.6444444444444445,-7.344666653453257,33.79079267811357,0.24397560243975602,0.1260873912608739,24,14,26.6284989629473,0.7857142857142857,17,13,13.14613185173426,0.6153846153846154,4,-10.154825687408447,1.0,0.2274733966114794,1.0
delta,21,23,45,19,-30.029083675808376,-33.186277155290576,44.86556273467985,10.292866000292305,-0.7396826236537649,0.8421052631578947,0.7111111111111111,-52.547125381335874,-13.67387698658726,0.0033996600339966003,0.0017998200179982,24,14,-66.3185081027803,1.0,17,13,4.4288889567057295,0.5384615384615384,4,-5.688109397888184,0.0,0.17032165676238006,1.0
delta,21,24,45,19,10.579228803846572,20.833406904287504,53.651808283250716,12.308568970784647,0.3883076371685198,0.7894736842105263,0.6222222222222222,-0.9031914430752129,46.00948637619352,0.1105889411058894,0.055094490550944904,24,14,19.342068876538956,0.7142857142857143,17,13,9.834260634886913,0.7692307692307693,4,35.99197602272034,0.47204284349973635,0.20986078596251484,1.0
delta,21,25,45,19,-2.902069007025825,-4.899384996347259,36.869043218896486,8.458338607168596,-0.132886144271739,0.5789473684210527,0.5333333333333333,-20.696850119557293,11.4420308978934,0.5684431556844316,0.28687131286871315,24,14,1.439246450151716,0.35714285714285715,17,13,-25.22123763500116,0.6923076923076923,4,24.192261219024658,0.0,0.02622752847468533,1.0
delta,21,26,45,19,15.278985214233398,13.954829985635325,45.359003077184106,10.40606897858926,0.307652925305466,0.5789473684210527,0.5333333333333333,-5.29998538724163,34.34346544198822,0.195980401959804,0.10058994100589941,24,14,3.821424995149885,0.5,17,13,21.953603573334526,0.6923076923076923,4,57.151686668395996,0.2738424616482998,0.11060491352019355,1.0
