rank,layer,direction_raw_norm,cv_cosine_n_events,cv_cosine_n_rollouts,cv_cosine_event_weighted_mean,cv_cosine_rollout_weighted_mean,cv_cosine_rollout_sd,cv_cosine_rollout_se,cv_cosine_standardized_rollout_effect,cv_cosine_rollout_consistency,cv_cosine_event_consistency,bootstrap_ci_low,bootstrap_ci_high,permutation_p_two_sided,permutation_p_directional,correct_cv_cosine_n_events,correct_cv_cosine_n_rollouts,correct_cv_cosine_rollout_weighted_mean,correct_cv_cosine_rollout_consistency,incorrect_cv_cosine_n_events,incorrect_cv_cosine_n_rollouts,incorrect_cv_cosine_rollout_weighted_mean,incorrect_cv_cosine_rollout_consistency,cv_projection_rollout_weighted_mean,cv_projection_standardized_rollout_effect,status_preservation_ratio,correct_vs_incorrect_direction_cosine,correct_direction_on_incorrect_mean_cosine,incorrect_direction_on_correct_mean_cosine,nearest_scanned_sv_rank,nearest_scanned_sv_cosine,nearest_scanned_sv_abs_cosine,rank_score,permutation_p_holm
11,12,181.39076232910156,45,19,0.11933773803443515,0.12577319262454142,0.10572191541212292,0.02425427081047363,1.1896605555646154,0.8421052631578947,0.7333333333333333,0.07979426957421522,0.17220573475816797,0.00019998000199980003,9.999000099990002e-05,24,14,0.15106800130323866,0.8571428571428571,17,13,0.13206379264524223,0.9230769230769231,100.46993258721984,1.0907824962162953,1.0,0.06973328441381454,0.033058960463470954,0.037634568761185046,28,0.022690453971656116,0.022690453971656116,1.0957399853884615,0.0022997700229977006
12,8,84.39613342285156,45,19,0.11272377667256943,0.11482854305300587,0.09971349225515698,0.022875844002513412,1.1515848101997166,0.8947368421052632,0.7555555555555555,0.07371254693142218,0.15992889236709046,9.999000099990002e-05,9.999000099990002e-05,24,14,0.14057085633742203,0.8571428571428571,17,13,0.11483843893826552,0.8461538461538461,42.6923809604988,1.0480505546371537,1.0,0.07307630777359009,0.035447013859019785,0.03501095359896855,27,0.0762788037546722,0.0762788037546722,1.0909750833471,0.0022997700229977006
13,15,345.5667724609375,45,19,0.10244863444631469,0.11101449426586318,0.08952501484524059,0.020538446980493803,1.2400388255480423,0.8947368421052632,0.8,0.0730109247435517,0.14954938656533395,0.00019998000199980003,9.999000099990002e-05,24,14,0.14176035869873957,0.9285714285714286,17,13,0.10018109246887204,0.9230769230769231,171.37253722725973,1.1132346823192707,0.9024145282232537,0.0030788416042923927,0.010862398251527327,0.013911100907057735,1,0.016370008466882358,0.016370008466882358,1.0887929954418327,0.0022997700229977006
14,5,53.647281646728516,45,19,0.12372358061249272,0.13040376498451461,0.10725937848274222,0.024606989029118648,1.2157796066802333,0.9473684210526315,0.7777777777777778,0.08496112667561728,0.17916719941129156,9.999000099990002e-05,9.999000099990002e-05,24,14,0.15713661859698363,0.8571428571428571,17,13,0.11475933472000441,0.8461538461538461,30.106924064855793,1.095993355303314,0.8800308390914329,0.11473532766103745,0.04282290864037142,0.04126671628041619,31,0.06786376745256315,0.06786376745256315,1.0772721000688292,0.0022997700229977006
15,9,101.40386199951172,45,19,0.10880507619969486,0.11216399796587653,0.10027134826872934,0.02300382494926122,1.1186046652656414,0.8947368421052632,0.7333333333333333,0.06986957702398025,0.15706616214016436,9.999000099990002e-05,9.999000099990002e-05,24,14,0.1311301593724824,0.7857142857142857,17,13,0.12719305073494352,0.9230769230769231,50.86277525998853,1.02464097878353,1.0,0.06233969330787659,0.0296426983293675,0.03559126792793903,29,0.05952877460972335,0.05952877460972335,1.0597307355148182,0.0022997700229977006
16,16,460.0672607421875,45,19,0.10627309543906029,0.1158255270465423,0.09092502543449185,0.020859631437253442,1.2738575160475523,0.9473684210526315,0.8,0.07632411981179955,0.1567393991351063,9.999000099990002e-05,9.999000099990002e-05,24,14,0.15333006217866924,0.9285714285714286,17,13,0.09286807501599138,0.9230769230769231,233.85482560357798,1.150565472604159,0.8017928118615347,-0.032444391399621964,0.0038867759749378517,-0.0008679156337449376,21,0.010790635707087791,0.010790635707087791,1.0559524727681646,0.0022997700229977006
17,3,40.80811309814453,45,19,0.14420970174756262,0.1515555457209239,0.13730659341249113,0.03150029289299349,1.1037747128837914,0.8947368421052632,0.7777777777777778,0.09449560932147219,0.2136448628306992,0.00019998000199980003,9.999000099990002e-05,24,14,0.1727145188076935,0.7857142857142857,17,13,0.15193627929775622,0.9230769230769231,25.475213019913035,0.974005352857261,1.0,0.21911001205444336,0.07706818847130009,0.05931441322583258,18,-0.05361303196730979,0.05361303196730979,1.0456813069425392,0.0022997700229977006
18,14,272.6104431152344,45,19,0.1103686194891005,0.11593542618798754,0.09829703950722325,0.022550887455853222,1.1794396532101878,0.8421052631578947,0.8,0.07389929571561968,0.15954912257165535,9.999000099990002e-05,9.999000099990002e-05,24,14,0.15716539690377304,0.9285714285714286,17,13,0.10644433323677925,0.9230769230769231,141.44836222815542,1.0543565754523156,0.9181346611361171,0.0035808314569294453,0.014183232150877946,0.016955795726989072,30,-0.015284884771379422,0.015284884771379422,1.0196266620202188,0.0022997700229977006
19,7,72.75141906738281,45,19,0.11467280828007873,0.11970935743887971,0.10949564344667821,0.02512002339694905,1.0932796380814487,0.8421052631578947,0.8,0.07392073257143005,0.16932151543522186,0.00019998000199980003,0.00019998000199980003,24,14,0.1360627856791937,0.7857142857142857,17,13,0.12344244684233162,0.9230769230769231,37.70006046515643,0.9880152381827955,1.0,0.09446732699871063,0.039226839378936514,0.038873089083081507,26,0.03748329153010757,0.03748329153010757,1.0069680877065974,0.0022997700229977006
20,6,62.537437438964844,45,19,0.12076109953130161,0.1273590367950094,0.10806816789593232,0.024792538045892393,1.178506485995523,0.8947368421052632,0.7555555555555555,0.08268714411791053,0.1766543821719627,0.00019998000199980003,0.00019998000199980003,24,14,0.15467476816000097,0.8571428571428571,17,13,0.10879921283603709,0.8461538461538461,34.610695642002284,1.0827093550463032,0.8542716368933816,0.09208117425441742,0.037716830817427126,0.035594819130813755,14,0.043070311009193875,0.043070311009193875,0.9944527454142894,0.0022997700229977006
21,1,29.28645896911621,45,19,0.14810620802100014,0.15262770612024537,0.14016625862457152,0.03215634508624703,1.0889047593761578,0.7894736842105263,0.8,0.09353877087542346,0.21675735773286908,0.00019998000199980003,0.00019998000199980003,24,14,0.17046996632606604,0.7857142857142857,17,13,0.15096275925575947,0.9230769230769231,18.19871597883339,0.8883214748097096,0.9890914506493717,0.23429617285728455,0.0835138251570918,0.067309333055326,20,-0.0442951197156263,0.0442951197156263,0.9663121934339934,0.0022997700229977006
22,2,33.10908508300781,45,19,0.13553639881638196,0.1393597233017972,0.1290754275186921,0.02961193392885725,1.0796766354433787,0.8421052631578947,0.7555555555555555,0.08631795952244528,0.1968728234254214,9.999000099990002e-05,9.999000099990002e-05,24,14,0.17174896623247932,0.7857142857142857,17,13,0.11988891153389027,0.8461538461538461,19.579456463648118,0.9096555870271087,0.8602837942944177,0.18552158772945404,0.06166857493969468,0.050896579039717865,20,-0.04046711046657138,0.04046711046657138,0.8902345727519448,0.0022997700229977006
23,0,22.36185073852539,45,19,0.12143708830951591,0.11559433003280385,0.11686372592397394,0.026810377445696674,0.9891378108892754,0.7894736842105263,0.7333333333333333,0.06552708178025302,0.1685903043538203,0.00039996000399960006,0.00019998000199980003,24,14,0.1309010584678186,0.6428571428571429,17,13,0.12204275701442689,0.8461538461538461,11.513061873437403,0.9219973877004313,1.0,0.14763836562633514,0.052146727322550476,0.04522818880258888,32,-0.022632358004612975,0.022632358004612975,0.8850180413219833,0.0022997700229977006
