layer,sv_rank_1based,gatedness_ratio,total_gain,invariant_gain
4,43,4.116191089420374,1711.6057553844157,334.5468778372348
4,44,4.168477202375651,1717.935071885578,332.3870851352117
4,45,4.214598413586457,1682.1505151629747,322.5848630606147
4,46,4.219914745716765,1635.619721697913,313.3422290162947
4,47,5.61882673203271,2021.6337520724842,305.4368748298358
4,48,6.278994633156751,2204.847529689917,302.9055028625429
4,49,4.816340023661084,1744.0481885853214,299.8532034733397
4,50,5.959036304444905,2000.861802580201,287.5199546382627
4,51,4.789581423612856,1640.5961899598228,283.37043214705886
4,52,4.94453279017172,1681.982778801183,282.94616888682265
4,53,7.661923740146271,2342.166697024108,270.3979817056918
4,54,9.681963764574155,2864.9066555171034,268.2003720157109
4,55,6.021729274665395,1864.5038852627235,265.53343376393127
4,56,5.504890097756003,1680.4186031441911,258.3315902176015
4,57,4.882874007200796,1483.1873964429094,252.11952433922357
4,58,5.509811317150528,1621.5547119624803,249.0939649342278
4,59,6.55713779430295,1841.1334034844356,243.62840186302498
4,60,4.021153447293074,1205.0536011210727,239.99537432396716
4,61,5.112183790611751,1409.2347397129718,230.561577987492
4,62,6.305792947630139,1664.5359617869274,227.83782317934597
4,63,4.268110346588886,1168.9630978813016,221.89419373839127
4,64,4.244016342100036,1143.5041198861832,218.0588398830614
5,1,-0.9767792566899243,5213.283980856772,224509.78038223102
5,2,-0.8868762345790517,2092.6064726490813,18498.38064408502
5,3,0.6589667053318145,8036.5123616797955,4844.287914791346
5,4,0.8712236812501591,4051.188244695049,2164.9941080206645
5,5,0.4699768492166383,3029.0714305396796,2060.6252623324663
5,6,0.5717567796790881,2817.9120706555914,1792.8423195548428
5,7,0.5079110868666685,2215.7314753320043,1469.404591974952
5,8,0.5536361770378049,1981.8149077904836,1275.5978118177613
5,9,1.7240171675012623,3008.7254340806867,1104.5177945189107
5,10,2.161979369587152,3424.6455979898374,1083.0701904411762
5,11,2.5484714631554755,3308.202169226383,932.2893543252026
5,12,1.2586779157308468,1972.4490480727072,873.2759258569179
5,13,1.0393906632506986,1729.878272425056,848.2329077979398
5,14,2.966799133759607,2979.5055216253613,751.1107623949538
5,15,1.8606076174424084,1996.0680609531028,697.7776500287166
5,16,3.099787302135276,2722.481497534599,664.0543269443294
5,17,2.429863489980543,2127.2311142938584,620.2086819220685
5,18,2.131145528511685,1842.4467644152214,588.4257846332175
5,19,2.4674967627071274,1902.9571286015575,548.7985307060926
5,20,1.9676897489814753,1537.0448038218997,517.9263783721292
5,21,2.869177985549107,1857.5818863406012,480.0972954146674
5,22,2.151253309885072,1396.0527333244402,443.01507877677693
5,23,2.6953082166965685,1551.9480548485205,419.9779731055763
5,24,3.162470297431799,1648.6510817707997,396.0751582510861
5,25,4.272780792013726,2040.660976492777,387.0179810212794
5,26,6.853807818011105,2971.696559120254,378.3765312292984
5,27,3.6540800761489267,1688.8933860810607,362.8844709261033
5,28,4.25091200905291,1876.3308341181348,357.33427467132947
5,29,3.7519618096928005,1645.71861322184,346.3240402868713
5,30,5.211646187349398,2109.0658298324847,339.5341212652415
5,31,7.124889989006048,2662.992061206169,327.75730684470216
5,32,3.651716290951891,1491.0195124771794,320.53105116872473
5,33,3.81473378054648,1517.9616418137914,315.2742625037224
5,34,7.314716346947504,2473.824098249597,297.52357086218376
5,35,3.0186977091490803,1173.5406382961635,292.02013269732083
5,36,4.550227777128544,1594.6283915842082,287.30863950395263
5,37,4.812128725730243,1627.3404830740283,279.99044065729277
5,38,3.399326236222583,1186.1444793633193,269.6195771063525
5,39,2.864710838293036,1024.7208752752579,265.14813608355007
5,40,6.38848998744371,1923.9017674440938,260.391740492812
5,41,6.086228043509421,1793.1323003315583,253.04467896340583
5,42,5.042689755628796,1457.8280790660779,241.254828234066
5,43,3.5861004566981562,1084.8538564145806,236.552571549137
5,44,8.032130226646494,2113.4855093989836,233.99635040286432
5,45,7.3499407509031505,1886.8765573059877,225.97484384568475
5,46,5.258340983824593,1397.0592773612896,223.231569032788
5,47,5.900788954131894,1521.6897521519152,220.50953336877222
5,48,5.675129732595466,1458.8101355921046,218.5440873858459
5,49,5.765780706263394,1412.4794784350058,208.76814365668605
5,50,3.593863048027812,953.1589414835071,207.48527579478218
5,51,4.654534946789788,1155.5997914198756,204.36690237026363
5,52,4.896603800903498,1171.5713781464992,198.68578892259367
5,53,8.150754339106735,1799.6284122901586,196.66448749466255
5,54,4.415378003869471,1046.901839553696,193.320177983068
5,55,4.2368275164380025,964.782128484356,184.23026640765207
5,56,5.221980198540537,1139.5866561287921,183.15497956680218
5,57,5.002841203929446,1087.0199170982003,181.08423664223102
5,58,7.2549481076637266,1448.108027392286,175.42303216269983
5,59,4.766375034235456,990.5314537348872,171.7771473159375
5,60,6.076694165922452,1206.807489704139,170.53266135412508
5,61,4.375402738427445,881.8173248577546,164.0467454752498
5,62,4.842682751253173,936.385272773015,160.26632159209038
5,63,4.461377972427271,872.934230271476,159.83772496220186
5,64,4.643702509718541,891.3040479862659,157.92895646988268
6,1,-0.9719568637695499,4135.017987722137,147452.05221491324
6,2,-0.890334340546752,1596.915314987179,14561.671565636809
6,3,1.1671464700699945,7516.2184652468295,3468.255869666272
6,4,1.3270564462402603,4366.587638180902,1876.4425096932127
6,5,0.2856194263052031,1875.9841553451852,1459.2064470715382
6,6,1.1516567238587239,2903.653596766624,1349.4966760122786
6,7,0.5211175542039083,1696.9122593226687,1115.5694407923088
6,8,2.304810392987653,3560.6938873725667,1077.4275870495064
6,9,2.481137276461756,3380.852523147651,971.1919567229636
6,10,1.1874476882935094,1900.4424802583892,868.7944815451178
6,11,1.285295287677183,1843.3755221838771,806.6246546448576
6,12,1.4059064491757776,1884.8991489273055,783.4465673314893
6,13,1.5261030325149185,1822.1371818023385,721.3233816470629
6,14,3.1368270392174153,2881.3631682106043,696.515261792502
6,15,1.6535316930434396,1619.6352508007983,610.3696650946049
6,16,4.565694119718466,3349.993785649522,601.900448280252
6,17,3.0335015632436337,2136.275220179663,529.6329223340765
6,18,3.4018737444376486,2182.5936512129083,495.83286071560303
6,19,3.6966207408515404,2221.433721534712,472.9855451628106
6,20,2.318972912274513,1434.6020690345229,432.2427771943689
6,21,2.1194090896986886,1246.4958476097172,399.5935806322491
6,22,2.8069816923887223,1451.122048772783,381.173897335472
6,23,3.234701915303958,1580.7303863870936,373.2802020076788
6,24,3.7087537858760773,1736.2808940401733,368.7346956318308
6,25,3.862612771445147,1712.7505088212386,352.2284395909469
6,26,8.253612280707774,3113.54704207859,336.4682836961398
6,27,3.3799604761570476,1448.0775820454455,330.61430346877864
6,28,4.719586957654357,1779.0220448807945,311.04030029649977
6,29,3.148517981087504,1234.2159050560754,297.5076667577505
6,30,4.99084584603577,1749.0212402943832,291.94896434394747
6,31,4.131023435626154,1470.5418433100972,286.5981537132242
6,32,3.8131578876845813,1354.0888907263818,281.3306611427199
6,33,9.18196838093999,2719.3700058333866,267.07704287552474
6,34,6.133620358743932,1881.9013764069925,263.80733509321294
6,35,3.7159002911225136,1215.7371381157748,257.7953440628319
6,36,4.85012845032246,1490.036326304157,254.7014717637522
6,37,5.108525924254648,1464.2503450871084,239.70600489277373
6,38,7.028948031490995,1871.5754196186956,233.10344173084815
6,39,4.620233057171886,1251.9645334539784,222.760252238372
6,40,5.725184052511047,1476.6012478439236,219.56294969992405
6,41,4.628345438086084,1189.2170649217346,211.290703103314
6,42,7.2441941019720835,1689.965727597434,204.9885903575556
6,43,9.130982418568799,2031.5015733880064,200.5236500721242
6,44,6.912934013995238,1562.3261608200464,197.43955378079968
6,45,3.2069591884293156,814.7924976541993,193.67730019704925
6,46,6.479935470925929,1425.8468994126265,190.62288771802417
6,47,4.954296947003883,1105.5542782187365,185.67335288425477
6,48,4.475648343801217,992.5943430110085,181.27430409857715
6,49,5.5758850816932375,1156.001155872166,175.79400210172878
6,50,6.761654116584704,1332.3794202827419,171.6617875867219
6,51,6.173100890200745,1215.9871863516787,169.52043543858701
6,52,5.741739278720996,1116.3634987592109,165.58983559078217
6,53,3.2787786589758117,695.3969204633779,162.52229336623543
6,54,5.7035061520969075,1073.797614767771,160.18447516930422
6,55,5.80773208454016,1069.0294241711933,157.03165325773378
6,56,8.34156966928845,1423.7928803083041,152.41473657142473
6,57,6.05988049523789,1074.0857805181797,152.13937137359758
6,58,5.123833405417522,913.9191812687241,149.2397197579086
6,59,4.171170529478952,755.7057118017366,146.13823069530855
6,60,6.84390999840704,1121.8023402102915,143.01570778324853
6,61,3.4059124840661714,620.7011199482993,140.87913053039372
6,62,5.716573924261543,939.8900969294167,139.93594167621686
6,63,4.126577335088589,687.7709152627381,134.15791283502352
6,64,4.503774254684752,728.0327822933511,132.27882333177678
7,1,-0.975205290008828,1955.7924888829746,78879.42587670263
7,2,-0.8804173765228376,1216.1061825007512,10169.589419762267
7,3,1.5979411161540147,6482.214035880824,2495.135088156815
7,4,1.0306451516905908,3377.2329450482957,1663.132991126943
7,5,2.700438759907175,4260.436392004409,1151.3327657692946
7,6,2.323781438157556,3437.796354955394,1034.3027719839615
