source_layer,target_layer,layer_distance,k,exact_rank_best_match_rate,chance_exact_rate_1_over_k,exact_rate_over_chance,reciprocal_exact_rank_rate,mean_same_rank_abs_cosine,median_same_rank_abs_cosine,min_same_rank_abs_cosine,max_same_rank_abs_cosine,mean_best_abs_cosine,mean_same_rank_fraction_of_best,mean_same_rank_deficit_from_best,mean_offdiag_abs_cosine,diagonal_to_offdiag_ratio,same_rank_raw_sign_flip_rate,mean_abs_rank_offset_of_best,median_abs_rank_offset_of_best,null_diag_mean,null_diag_std,diag_perm_p,null_exact_rate_mean,null_exact_rate_std,exact_perm_p
0,22,22,64,0.0,0.015625,0.0,0.0,0.010523894165029295,0.009696455875926572,9.149760375037463e-05,0.03106484170834973,0.041497469472454855,0.27767563379012417,0.030973575307425567,0.012228596178493444,0.8605970801078356,0.46875,29.890625,30.0,0.012210884193885819,0.0012133610670976135,0.9230384807596201,0.01546875,0.015620309451037552,1.0
1,2,1,64,0.265625,0.015625,17.0,0.203125,0.2538637590363607,0.15342609162488569,0.0017727716268189243,0.8540609246550969,0.48519668054937903,0.4879682949675281,0.23133292151301835,0.05067464838313562,5.009679734074797,0.421875,1.828125,1.0,0.05381710232394224,0.01048918529323106,0.0004997501249375312,0.015484375,0.015168247467159399,0.0004997501249375312
1,3,2,64,0.109375,0.015625,7.0,0.09375,0.13034561775469858,0.07845211588964959,0.007957709751399868,0.6851410081240504,0.30808651684549704,0.3877994772165639,0.1777408990907985,0.05179243719939975,2.516692104155493,0.4375,5.765625,4.0,0.052719969570787256,0.007459782507249135,0.0004997501249375312,0.0153046875,0.01568413451956013,0.0004997501249375312
1,4,3,64,0.09375,0.015625,6.0,0.078125,0.13182384374971903,0.09279263443790511,0.009260043172947206,0.5600901020964417,0.2571839959978044,0.46554068425454453,0.12536015224808533,0.047515051856881416,2.7743596733679565,0.546875,7.328125,4.0,0.04861893761986955,0.0062243151161873135,0.0004997501249375312,0.0155859375,0.015277157362452358,0.0004997501249375312
1,5,4,64,0.09375,0.015625,6.0,0.09375,0.07832262099523522,0.03498237128283389,0.0007853960993346362,0.4597705090791582,0.20296183893240025,0.3371652803689637,0.12463921793716502,0.043928449609046266,1.7829589182475063,0.5,13.84375,9.0,0.044418849528002784,0.005032497086468188,0.0004997501249375312,0.015,0.0152042846801919,0.0004997501249375312
1,6,5,64,0.0625,0.015625,4.0,0.0625,0.07241676651357694,0.04402650792220568,0.0004681350143031799,0.41784655228443074,0.19101796561504783,0.35080738821014856,0.1186011991014709,0.04118297411299114,1.7584151721265104,0.59375,15.0625,8.5,0.04168545814049548,0.004676008821545089,0.0004997501249375312,0.0153671875,0.01516268065332252,0.01699150424787606
1,7,6,64,0.09375,0.015625,6.0,0.078125,0.06088748175324203,0.04047707842633911,0.0028836097672973087,0.31940575652290265,0.17267912523650453,0.3302015694758843,0.11179164348326252,0.038034709855664574,1.6008399165998621,0.46875,19.765625,18.5,0.03838617369940156,0.0040904188842083525,0.0004997501249375312,0.015828125,0.01524784783719355,0.0004997501249375312
1,8,7,64,0.046875,0.015625,3.0,0.03125,0.0484135418809392,0.03658992138783586,0.0015549044320927307,0.2652212921647388,0.1620729129868113,0.30471824285275695,0.11365937110587213,0.03528902626679554,1.3719149266097177,0.421875,22.515625,23.0,0.03557204802195437,0.003949620061216927,0.001999000499750125,0.0160859375,0.015531940156210419,0.08545727136431784
1,9,8,64,0.03125,0.015625,2.0,0.03125,0.02813088223943325,0.021073051998787243,0.0003120543396804012,0.21317978177859068,0.1451125027401925,0.20662995715979027,0.11698162050075922,0.027303830034419767,1.0302907029515964,0.453125,27.140625,28.5,0.02718706480172657,0.003055152364519531,0.36531734132933535,0.01490625,0.014475811220541195,0.255872063968016
1,10,9,64,0.03125,0.015625,2.0,0.015625,0.023799244455522964,0.016125917040466002,0.00117732358018271,0.1754237422577503,0.14088074953317611,0.19046228877075794,0.11708150507765315,0.025837970234800098,0.9210957454958572,0.53125,26.6875,26.5,0.025712844142248704,0.003093100857049305,0.7171414292853573,0.015421875,0.01506249714587557,0.26786606696651677
1,11,10,64,0.03125,0.015625,2.0,0.015625,0.023268062567032642,0.016479460935072604,0.0005600733412037676,0.17905748733500543,0.13992836518802174,0.19088707431531138,0.11666030262098909,0.024668372731414534,0.9432345951786827,0.546875,26.109375,26.0,0.02460899498822847,0.0029427232639392823,0.664167916041979,0.0151953125,0.014592276423864065,0.24987506246876562
1,12,11,64,0.03125,0.015625,2.0,0.015625,0.022738060176981687,0.016901326547300213,3.944953696523659e-05,0.1747336409349589,0.14006578221416424,0.18669209654343571,0.11732772203718256,0.0241710285080166,0.9407154589818281,0.5,26.28125,26.0,0.024156684771250284,0.0030491632182690627,0.6626686656671664,0.0157578125,0.015010487826007892,0.26936531734132935
1,13,12,64,0.03125,0.015625,2.0,0.015625,0.02121336564183755,0.017760087819122104,0.0001644181752283012,0.13076588497728392,0.13635070148633427,0.18980062008772564,0.11513733584449673,0.02352658105398556,0.9016765161567691,0.59375,26.453125,26.5,0.023587511404619746,0.0028540464522842915,0.7946026986506747,0.01584375,0.014808783870641225,0.25737131434282856
1,14,13,64,0.015625,0.015625,1.0,0.015625,0.021427976460994057,0.014207701101179516,0.001349021569353002,0.09811181307891732,0.13539385311306484,0.20359405799585184,0.11396587665207081,0.02322870072733414,0.922478476627791,0.515625,26.671875,29.5,0.02311447425708025,0.0028820553274717764,0.7006496751624188,0.015046875,0.014616421548170123,0.6376811594202898
1,15,14,64,0.015625,0.015625,1.0,0.0,0.02059838159871291,0.015531881031776424,0.00034930940982679654,0.06729891835643745,0.1396663485714556,0.1942734863571243,0.11906796697274266,0.022758749595493868,0.9050752771932294,0.5,26.578125,26.5,0.022755903013777976,0.002887288674308572,0.760119940029985,0.015546875,0.015184792901192332,0.6361819090454772
1,16,15,64,0.015625,0.015625,1.0,0.0,0.022509689570430987,0.019964452278176135,0.00013591735303720596,0.07180927914940241,0.14056701096002427,0.20987394202831125,0.1180573213895933,0.02244963358894502,1.002675143059597,0.453125,26.484375,25.0,0.02229523579969012,0.0028489846476820227,0.4397801099450275,0.0155,0.014760309816292356,0.6496751624187906
1,17,16,64,0.015625,0.015625,1.0,0.0,0.01861134649283583,0.017285528846256136,0.0001519169834321996,0.06237758246380151,0.14016851405657424,0.17774600917085442,0.12155716756373841,0.021950458946761404,0.8478796064344599,0.453125,26.78125,25.5,0.021773744550806873,0.002788308107969263,0.8760619690154923,0.015515625,0.014793493868582733,0.6461769115442278
1,18,17,64,0.0,0.015625,0.0,0.0,0.01695816561197648,0.013286349533740874,0.0003323478854554071,0.053401824070838703,0.1342748728798958,0.1685327570990089,0.11731670726791933,0.022288838101191085,0.7608366813463578,0.53125,27.34375,29.5,0.022252611160229613,0.002855249163838701,0.9795102448775612,0.0159765625,0.015136609225335575,1.0
1,19,18,64,0.015625,0.015625,1.0,0.0,0.016730403829133635,0.012181398898287978,0.0001059601256049893,0.05878915158017081,0.12283640827258371,0.17055371847925077,0.10610600444345009,0.022488866535505588,0.7439416211892916,0.515625,25.859375,25.5,0.022394952534444866,0.0026343712903473663,0.9910044977511244,0.0156953125,0.015002772533158149,0.6491754122938531
1,20,19,64,0.0,0.015625,0.0,0.0,0.020182363130346513,0.0157220974526397,0.0016222967668522998,0.08161827987412693,0.09828950060499111,0.2435182280456894,0.0781071374746446,0.022126459908551374,0.9121370166651236,0.5,22.75,19.0,0.02207030385914551,0.002514580982876176,0.7741129435282359,0.0152109375,0.014956446192192305,1.0
1,21,20,64,0.015625,0.015625,1.0,0.0,0.016245819053140598,0.013026978646513223,0.00016820277897243484,0.05807175908289535,0.06596022859950915,0.27350391438797295,0.04971440954636856,0.016959047840945814,0.9579440547314689,0.546875,24.75,23.5,0.016907762543571906,0.0017342026335233657,0.6411794102948526,0.0152734375,0.014744230279480883,0.6466766616691654
1,22,21,64,0.046875,0.015625,3.0,0.015625,0.013870026716733073,0.011031058579332306,0.0002816221117059245,0.05656998766268904,0.06120284218336069,0.2722464498125616,0.04733281546662761,0.016516145820279212,0.8397859202540386,0.609375,25.78125,25.0,0.016516957617835424,0.001606986300099154,0.9540229885057471,0.0152578125,0.014941331821515915,0.07196401799100449
2,3,1,64,0.15625,0.015625,10.0,0.109375,0.17859407932177263,0.14097529172542453,0.00011694113617463468,0.7876362658972383,0.3528189644489007,0.47055117499699184,0.1742248851271281,0.058677525601438095,3.0436538945908715,0.484375,4.0625,3.0,0.0605228457898253,0.008670061213125727,0.0004997501249375312,0.015796875,0.015470874101262138,0.0004997501249375312
2,4,2,64,0.109375,0.015625,7.0,0.078125,0.14220302753053898,0.10312434058442735,0.0018148172072845305,0.6432131766960827,0.2994467824226521,0.4400222711866476,0.15724375489211315,0.05542154235147339,2.565843920920012,0.5,6.296875,4.0,0.05693941448203216,0.0074546225860908245,0.0004997501249375312,0.0155078125,0.015787856190879614,0.0004997501249375312
2,5,3,64,0.078125,0.015625,5.0,0.078125,0.09732771080033015,0.05647993150899498,0.0004009174905607615,0.509591923709276,0.22792239143033804,0.37664094299498174,0.1305946806300079,0.050611479924004346,1.9230362547483801,0.5,14.796875,13.0,0.05160649305273107,0.005671270348685616,0.0004997501249375312,0.0159296875,0.015338001331896943,0.005997001499250375
2,6,4,64,0.109375,0.015625,7.0,0.078125,0.07915829024722873,0.04079538481275838,0.0001968409325592141,0.4614560114450136,0.22360567793731162,0.32499408481640457,0.14444738769008286,0.04778975594949386,1.6563861579641963,0.5,16.171875,14.5,0.0483066709555076,0.005387486806991004,0.0004997501249375312,0.015734375,0.014916816087405107,0.0004997501249375312
2,7,5,64,0.046875,0.015625,3.0,0.046875,0.06840371556168628,0.049170444973879845,2.5616613290960937e-05,0.3516518513687749,0.20097469952921712,0.32262776734567156,0.13257098396753086,0.04413190111386595,1.5499834322839605,0.578125,21.015625,22.5,0.044653932162064876,0.005033396296332389,0.0004997501249375312,0.016234375,0.01584218585488459,0.09045477261369315
2,8,6,64,0.046875,0.015625,3.0,0.03125,0.05510527687728823,0.03266202506736081,0.0002780349939209576,0.29499253667496267,0.18823056739337007,0.2854939376408969,0.13312529051608185,0.04164974948176752,1.323063825423751,0.484375,22.984375,25.5,0.04174226940033311,0.004597050882324849,0.0034982508745627187,0.015796875,0.014973431622766233,0.07746126936531735
2,9,7,64,0.03125,0.015625,2.0,0.03125,0.030265759511059157,0.020804476353318908,0.0012771810878704848,0.23378481926262076,0.16867778003423278,0.20066512026500832,0.13841202052317364,0.03232104361373929,0.9364103422141216,0.375,26.296875,28.0,0.0323260560941053,0.003810075738625443,0.6966516741629185,0.0160234375,0.015391496782564637,0.2753623188405797
