sv_index_zero_based,sv_rank,sv_label,n_layer_pairs,mean_same_rank_abs_cosine,median_same_rank_abs_cosine,min_same_rank_abs_cosine,max_same_rank_abs_cosine,exact_rank_best_match_rate,mean_same_rank_fraction_of_best,mean_best_abs_cosine,raw_sign_flip_rate,mean_abs_rank_offset,n_adjacent_pairs,adjacent_mean_same_rank_abs_cosine,adjacent_exact_rank_best_match_rate,adjacent_raw_sign_flip_rate
13,13,SV13,253,0.18164740080514913,0.060807774732026434,8.284715086712309e-05,0.9969506365855507,0.16205533596837945,0.3907511721297165,0.416760098601252,0.4189723320158103,4.5019762845849804,22,0.5606670301069389,0.5909090909090909,0.2727272727272727
14,14,SV14,253,0.20672598424365457,0.10399563870964443,0.0011439686992359643,0.9909045954543121,0.18181818181818182,0.4273830751685775,0.39638163880516436,0.5296442687747036,5.106719367588933,22,0.6116231393158519,0.6363636363636364,0.5
15,15,SV15,253,0.17107787815073558,0.07441925138016374,0.00044311524532114285,0.9953877940734166,0.13043478260869565,0.32391017862298715,0.41497368724886946,0.42292490118577075,6.130434782608695,22,0.5419316706477558,0.5454545454545454,0.2727272727272727
16,16,SV16,253,0.17065999768446172,0.05200831064886008,0.0006515645366210498,0.9912046145895337,0.11462450592885376,0.33351714149712713,0.40756610381645153,0.4782608695652174,5.478260869565218,22,0.5457898773532404,0.5,0.36363636363636365
17,17,SV17,253,0.1908744141552567,0.0828853897388663,2.8771541356656144e-05,0.9978838690602733,0.14624505928853754,0.39930691205626206,0.4250457346397551,0.33992094861660077,6.996047430830039,22,0.5330953362493505,0.5454545454545454,0.2727272727272727
18,18,SV18,253,0.2345327220170888,0.07238060090094979,0.0005072567208322728,0.9958801290956577,0.22924901185770752,0.44542958705685165,0.4242516636822535,0.43478260869565216,7.16205533596838,22,0.5461611303978674,0.5454545454545454,0.2727272727272727
19,19,SV19,253,0.16685488373470694,0.05587635994213844,5.089279679853327e-05,0.9917555420625827,0.1225296442687747,0.32630288931624474,0.3721263242895178,0.5138339920948617,7.5810276679841895,22,0.5559332100225496,0.5454545454545454,0.4090909090909091
20,20,SV20,253,0.19962184589086662,0.07637172558182112,3.908380474742807e-06,0.9973039098487553,0.1383399209486166,0.3798113323762754,0.40822701685425394,0.525691699604743,6.857707509881423,22,0.5251625599088525,0.5,0.4090909090909091
21,21,SV21,253,0.21189320236990705,0.07717335574552828,0.0001059601256049893,0.9978842374422798,0.13438735177865613,0.3867011512954416,0.4134239581208886,0.42292490118577075,8.735177865612648,22,0.5150869564659696,0.5,0.13636363636363635
22,22,SV22,253,0.21286195025845497,0.0668219571852283,2.9217126476903388e-06,0.9935786257246898,0.17786561264822134,0.41168464255042675,0.38391677561012494,0.36363636363636365,9.162055335968379,22,0.549874143297066,0.5454545454545454,0.36363636363636365
23,23,SV23,253,0.1647701721516451,0.07437842604672998,5.430890006919917e-05,0.9936987143318404,0.11462450592885376,0.33921771354040753,0.3842971481730178,0.43873517786561267,8.782608695652174,22,0.49750177259737377,0.5,0.13636363636363635
24,24,SV24,253,0.155852879699698,0.059412601414965696,0.00027821934211966735,0.984961015091591,0.1067193675889328,0.31525838657423666,0.3931840740312027,0.43478260869565216,10.08695652173913,22,0.5166863949599518,0.5454545454545454,0.36363636363636365
25,25,SV25,253,0.1539584700640861,0.061260042736613084,0.0002782979500316552,0.9608306157717044,0.11067193675889328,0.3317715743696525,0.36335134089203347,0.5454545454545454,10.82213438735178,22,0.488113075111367,0.45454545454545453,0.5909090909090909
