layer,sv_index_zero_based,sv_rank,sv_label,singular_value,gap_to_higher_rank,gap_to_lower_rank,local_gap,relative_local_gap
1,12,12,SV12,75.52706146240234,3.5017852783203125,5.475349426269531,3.5017852783203125,0.046364643486937654
1,13,13,SV13,70.05171203613281,5.475349426269531,2.1033096313476562,2.1033096313476562,0.030025099604457418
1,14,14,SV14,67.94840240478516,2.1033096313476562,1.7970199584960938,1.7970199584960938,0.026446831638377733
1,15,15,SV15,66.15138244628906,1.7970199584960938,2.8342208862304688,1.7970199584960938,0.027165266877909402
1,16,16,SV16,63.317161560058594,2.8342208862304688,3.912395477294922,2.8342208862304688,0.04476228587003397
1,17,17,SV17,59.40476608276367,3.912395477294922,2.2941627502441406,2.2941627502441406,0.03861916983307158
1,18,18,SV18,57.11060333251953,2.2941627502441406,3.5203933715820312,2.2941627502441406,0.04017052204625921
1,19,19,SV19,53.5902099609375,3.5203933715820312,1.42401123046875,1.42401123046875,0.026572227119593814
1,20,20,SV20,52.16619873046875,1.42401123046875,0.36363983154296875,0.36363983154296875,0.006970794123256241
1,21,21,SV21,51.80255889892578,0.36363983154296875,2.75115966796875,0.36363983154296875,0.007019727196343374
1,22,22,SV22,49.05139923095703,2.75115966796875,1.2602043151855469,1.2602043151855469,0.02569150594974698
1,23,23,SV23,47.791194915771484,1.2602043151855469,1.2494239807128906,1.2494239807128906,0.026143392792645378
1,24,24,SV24,46.541770935058594,1.2494239807128906,1.0984687805175781,1.0984687805175781,0.023601783053126858
1,25,25,SV25,45.443302154541016,1.0984687805175781,0.4684791564941406,0.4684791564941406,0.010309091423439326
1,26,26,SV26,44.974822998046875,0.4684791564941406,2.550212860107422,0.4684791564941406,0.010416475825029602
1,27,27,SV27,42.42461013793945,2.550212860107422,0.9270477294921875,0.9270477294921875,0.021851649938042634
1,28,28,SV28,41.497562408447266,0.9270477294921875,1.1698417663574219,0.9270477294921875,0.022339811682612884
1,29,29,SV29,40.327720642089844,1.1698417663574219,0.4746437072753906,0.4746437072753906,0.011769663638762844
1,30,30,SV30,39.85307693481445,0.4746437072753906,0.840179443359375,0.4746437072753906,0.01190983843108877
1,31,31,SV31,39.01289749145508,0.840179443359375,0.5092048645019531,0.5092048645019531,0.013052218554478896
1,32,32,SV32,38.503692626953125,0.5092048645019531,0.6677703857421875,0.5092048645019531,0.01322483195145555
1,33,33,SV33,37.83592224121094,0.6677703857421875,0.39220428466796875,0.39220428466796875,0.010365923742193849
1,34,34,SV34,37.44371795654297,0.39220428466796875,0.9053115844726562,0.39220428466796875,0.010474501627299924
1,35,35,SV35,36.53840637207031,0.9053115844726562,0.249786376953125,0.249786376953125,0.0068362690591798735
1,36,36,SV36,36.28861999511719,0.249786376953125,0.5378799438476562,0.249786376953125,0.006883325323110523
1,37,37,SV37,35.75074005126953,0.5378799438476562,0.04891204833984375,0.04891204833984375,0.0013681408628101071
1,38,38,SV38,35.70182800292969,0.04891204833984375,0.32103729248046875,0.04891204833984375,0.001370015236638024
1,39,39,SV39,35.38079071044922,0.32103729248046875,0.5408668518066406,0.32103729248046875,0.009073773820030962
