source_layer,target_layer,layer_distance,source_sv_index_zero_based,source_sv_rank,source_sv_label,target_same_rank_sv_label,same_rank_signed_cosine,same_rank_abs_cosine,same_rank_sign_flipped,best_target_sv_index_zero_based,best_target_sv_rank,best_target_sv_label,best_signed_cosine,best_abs_cosine,second_best_abs_cosine,best_match_margin,same_rank_is_best,best_match_is_reciprocal,rank_offset_zero_based,abs_rank_offset,same_rank_fraction_of_best,same_rank_deficit_from_best,source_singular_value,same_rank_target_singular_value,best_target_singular_value,source_relative_local_gap,same_rank_target_relative_local_gap,best_target_relative_local_gap,pair_min_same_rank_relative_gap,pair_mean_same_rank_relative_gap
0,1,1,24,24,SV24,SV24,-0.0826990393716728,0.0826990393716728,1,20,20,SV20,-0.37397469335292366,0.37397469335292366,0.17949916986870612,0.19447552348421754,0,1,-4,4,0.22113538921637377,0.2912756539812509,70.31858825683594,46.541770935058594,52.16619873046875,0.01685303290795784,0.023601783053126858,0.006970794123256241,0.01685303290795784,0.02022740798054235
0,1,1,25,25,SV25,SV25,-0.17883739203051946,0.17883739203051946,1,21,21,SV21,0.3669919615079566,0.3669919615079566,0.3088454166845528,0.05814654482340381,0,1,-4,4,0.48730601971684373,0.18815456947743714,69.13350677490234,45.443302154541016,51.80255889892578,0.017141926356957434,0.010309091423439326,0.007019727196343374,0.010309091423439326,0.013725508890198381
0,1,1,26,26,SV26,SV26,-0.16546698444364588,0.16546698444364588,1,25,25,SV25,0.35817369162584334,0.35817369162584334,0.21081915174732452,0.14735453987851882,0,1,-1,1,0.4619741435853323,0.19270670718219746,67.14483642578125,44.974822998046875,45.443302154541016,0.029617621472937485,0.010416475825029602,0.010309091423439326,0.010416475825029602,0.020017048648983543
0,1,1,27,27,SV27,SV27,0.2524604027536888,0.2524604027536888,0,21,21,SV21,-0.2938840242381514,0.2938840242381514,0.271348426794448,0.022535597443703426,0,0,-6,6,0.8590477260822635,0.0414236214844626,64.83512115478516,42.42461013793945,51.80255889892578,0.014328078531722913,0.021851649938042634,0.007019727196343374,0.014328078531722913,0.018089864234882774
0,1,1,28,28,SV28,SV28,0.08335651110549498,0.08335651110549498,0,26,26,SV26,-0.36217824478095306,0.36217824478095306,0.19601577393279304,0.16616247084816002,0,1,-2,2,0.2301532803437969,0.2788217336754581,63.906158447265625,41.497562408447266,44.974822998046875,0.014536356590516967,0.022339811682612884,0.010416475825029602,0.014536356590516967,0.018438084136564926
0,1,1,29,29,SV29,SV29,-0.10093160298807716,0.10093160298807716,1,28,28,SV28,0.2764049034275613,0.2764049034275613,0.25350964912771357,0.022895254299847734,0,1,-1,1,0.36515851107007863,0.17547330043948414,62.59612274169922,40.327720642089844,41.497562408447266,0.0187800768812711,0.011769663638762844,0.022339811682612884,0.011769663638762844,0.015274870260016973
0,1,1,30,30,SV30,SV30,0.17455156512083178,0.17455156512083178,0,31,31,SV31,0.2927735349139318,0.2927735349139318,0.2423664743686719,0.050407060545259924,0,1,1,1,0.5961999440015834,0.11822196979310004,61.420562744140625,39.85307693481445,39.01289749145508,0.019139518510366292,0.01190983843108877,0.013052218554478896,0.01190983843108877,0.01552467847072753
0,1,1,31,31,SV31,SV31,0.00729798917556427,0.00729798917556427,0,24,24,SV24,-0.324819400116724,0.324819400116724,0.2803013956354701,0.044518004481253926,0,1,-7,7,0.022467836505275653,0.3175214109411597,60.1881217956543,39.01289749145508,46.541770935058594,0.011022340981451653,0.013052218554478896,0.023601783053126858,0.011022340981451653,0.012037279767965274
0,1,1,32,32,SV32,SV32,-0.1167703592261079,0.1167703592261079,1,30,30,SV30,-0.26130946508017616,0.26130946508017616,0.2507013877115637,0.010608077368612467,0,1,-2,2,0.4468661676310879,0.14453910585406826,59.52470779418945,38.503692626953125,39.85307693481445,0.01114518703323401,0.01322483195145555,0.01190983843108877,0.01114518703323401,0.01218500949234478
0,1,1,33,33,SV33,SV33,0.11087713032339419,0.11087713032339419,0,23,23,SV23,0.2519292481605048,0.2519292481605048,0.2423859367869856,0.009543311373519214,0,0,-10,10,0.4401121788477456,0.14105211783711064,57.54414367675781,37.83592224121094,47.791194915771484,0.011268191428063066,0.010365923742193849,0.026143392792645378,0.010365923742193849,0.010817057585128458
