layer,n_svd,n_rotated,median_svd,median_rotated,rbc_vs_rotated,p_vs_rotated,q_vs_rotated,n_random,median_random,rbc_vs_random,p_vs_random,svd_yield_above_rot_q90,svd_yield_above_rot_q95,svd_yield_above_rot_q99,energy_ratio_svd_over_rotated
10,64,128,0.8166145552865005,0.7726909077231647,0.226318359375,0.005347945965082812,0.00891324327513802,64,0.7475196581560415,0.15283203125,0.06821158371322955,0.125,0.09375,0.0625,1.000191227308639
11,64,128,0.7835522485936122,0.7543994953978139,0.1953125,0.013811507391646272,0.01973072484520896,64,0.7060309778583185,0.12158203125,0.11815770838853978,0.171875,0.125,0.03125,1.0000089916458434
12,64,128,0.7443791977230265,0.7022627518887237,0.276611328125,0.0009042416727929048,0.0019376607274133675,64,0.6880910313095384,0.123046875,0.11535275891292485,0.25,0.15625,0.09375,1.0006226094438768
13,64,128,0.728694886946554,0.6870347149669712,0.306884765625,0.00026846656460910445,0.0006711664115227611,64,0.63415345100282,0.29931640625,0.0017562433252520382,0.1875,0.15625,0.0625,1.000315931598418
14,64,128,0.6961750298329774,0.6666681482090233,0.236083984375,0.0038760633526059296,0.006840111798716346,64,0.6372444454926538,0.2314453125,0.012019596248140751,0.328125,0.203125,0.125,1.0001008766758248
15,64,128,0.6762580588800473,0.6382443542887135,0.322509765625,0.00013741429290847762,0.00037476625338675717,64,0.5907917717533384,0.4453125,7.0011069515096835e-06,0.3125,0.28125,0.125,1.0006904441499114
16,64,128,0.6294714974767976,0.6117923498486773,0.36181640625,2.2374027911276073e-05,7.45800930375869e-05,64,0.5744389877219639,0.4814453125,1.3234195241906832e-06,0.296875,0.21875,0.203125,0.9996409996198707
17,64,128,0.6157696405022859,0.5632727470490932,0.28759765625,0.0005893640607399497,0.001360070909399884,64,0.49216581436186907,0.1650390625,0.053875621992557576,0.296875,0.171875,0.140625,0.9998425662592432
18,64,128,0.5651750222237637,0.43335864731702556,0.252197265625,0.0022240081295129555,0.004279479703619832,64,0.27319230104980763,0.27490234375,0.003674087731286524,0.21875,0.140625,0.09375,0.9993404688197649
19,64,128,0.3550468243521099,0.17560456467116295,0.345458984375,4.8714672948868554e-05,0.00014614401884660566,64,0.2533054789137441,0.29833984375,0.001810692603461006,0.28125,0.21875,0.109375,1.0003432465967603
20,64,128,0.26983399772030303,0.17929962616948775,0.196533203125,0.013332949712667519,0.01973072484520896,64,0.20890327096437356,0.22119140625,0.015525243400791533,0.15625,0.125,0.125,0.9991227696621579
21,64,128,0.35181307894993674,0.17403502962017428,0.3994140625,3.306872633501712e-06,1.4172311286435907e-05,64,0.24742408474725486,0.30517578125,0.0014596748681503513,0.3125,0.171875,0.140625,1.0001215337713225
22,64,128,0.47700765385164046,0.24262830255150936,0.409423828125,1.930679197181817e-06,9.653395985909086e-06,64,0.1729503747997364,0.54443359375,5.4441131602800397e-08,0.3125,0.125,0.125,1.0003035338480573
23,64,128,0.2938452856726942,0.0896376973710065,0.44921875,2.012529936035179e-07,1.5093974520263842e-06,64,0.1671368165815405,0.443359375,7.634757163366146e-06,0.234375,0.171875,0.125,1.0000208649024689
24,64,128,0.37216750627309403,0.17349160613870904,0.483154296875,2.5084605614900113e-08,3.762690842235017e-07,64,0.16150260705703248,0.734375,3.888001032237298e-13,0.3125,0.1875,0.0625,0.9990018917237332
25,64,128,0.4654363997343083,0.16988305140856708,0.491455078125,1.4749988341833387e-08,3.762690842235017e-07,64,0.1557398267482987,0.75244140625,1.056932319443149e-13,0.265625,0.1875,0.125,1.0000389557089198
26,64,128,0.5625058825363611,0.26101014378865706,0.41064453125,1.8065268851952254e-06,9.653395985909086e-06,64,0.16882606181256413,0.50732421875,3.728730495478061e-07,0.1875,0.171875,0.09375,1.0006761098849644
27,64,128,0.5602423781905714,0.3567354756208343,0.36962890625,1.5253504398904383e-05,5.7200641495891436e-05,64,0.16157152705869043,0.86669921875,0.0,0.203125,0.15625,0.09375,0.9991220174342218
28,64,128,0.5961405142803493,0.49784386091204424,0.25146484375,0.0022823891752639103,0.004279479703619832,64,0.1674302103180671,0.77001953125,2.886579864025407e-14,0.21875,0.15625,0.078125,0.9994472414593071
29,64,128,0.5427001701876584,0.2596419218890158,0.471435546875,5.232142208377866e-08,5.232142208377866e-07,64,0.16843711849442025,0.7646484375,4.3076653355456074e-14,0.40625,0.1875,0.0625,1.0016070408767919
